time,volume,close,open,returnsOpenNextMktres10
2016-04-18 22:00:00+00:00,970062,28.52,28.42,-0.049020524
2016-04-19 22:00:00+00:00,1227220,28.82,28.67,-0.064310372
2016-04-20 22:00:00+00:00,2004736,29.23,28.77,-0.087204914
2016-04-21 22:00:00+00:00,1393843,28.78,29.36,-0.108104343
2016-04-22 22:00:00+00:00,1555943,28.87,28.77,-0.099506906
2016-04-25 22:00:00+00:00,1633478,28.23,28.63,-0.105180122
2016-04-26 22:00:00+00:00,1280179,28.61,28.17,-0.112270776
2016-04-27 22:00:00+00:00,1746328,27.98,27.99,-0.115372314
2016-04-28 22:00:00+00:00,1001069,27.35,27.83,-0.119633242
2016-04-29 22:00:00+00:00,1625161,26.73,27.42,-0.082680946
2016-05-02 22:00:00+00:00,2174859,27.21,26.85,-0.094718553
2016-05-03 22:00:00+00:00,1363341,26.53,27.06,-0.114682333
2016-05-04 22:00:00+00:00,1231792,26.41,26.44,-0.082963907
2016-05-05 22:00:00+00:00,3857562,24.85,26,-0.038314706
2016-05-06 22:00:00+00:00,3268347,25.05,24.8,-0.016967901
2016-05-09 22:00:00+00:00,2569013,25.56,25.11,0.028717477
2016-05-10 22:00:00+00:00,2687704,25.11,24.6,-0.002216716
2016-05-11 22:00:00+00:00,2663082,24.06,24.64,-0.102721391
2016-05-12 22:00:00+00:00,2559260,24.27,24.04,-0.148548741
2016-05-13 22:00:00+00:00,2115995,24.04,23.9,-0.160126871
2016-05-16 22:00:00+00:00,2297118,24.26,24.07,-0.168047527
2016-05-17 22:00:00+00:00,3999141,23.09,24.16,-0.124362185
2016-05-18 22:00:00+00:00,2782412,22.9,22.92,-0.135907412
2016-05-19 22:00:00+00:00,3872054,23.88,23.53,-0.13252309
2016-05-20 22:00:00+00:00,3097705,24.42,23.64,-0.165109462
2016-05-23 22:00:00+00:00,2613622,24.66,24.48,-0.149454069
2016-05-24 22:00:00+00:00,2788182,24.84,24.93,-0.164888074
2016-05-25 22:00:00+00:00,5398318,25.08,24.4,-0.147908217
2016-05-26 22:00:00+00:00,19976789,21.15,22.4,-0.098447592
2016-05-27 22:00:00+00:00,6396171,20.19,20.8,-0.091321043
2016-05-31 22:00:00+00:00,5773833,19.89,20.19,-0.072298113
2016-06-01 22:00:00+00:00,3906346,19.52,19.72,-0.071961487
2016-06-02 22:00:00+00:00,4329816,19.5,19.47,-0.0955315
2016-06-03 22:00:00+00:00,3781864,19.42,19.53,-0.069698273
2016-06-06 22:00:00+00:00,4216302,19.03,19.47,-0.04651782
